Date,Description,Amount
2026-05-01,ACME PAYROLL DEPOSIT,3200.00
2026-05-02,WHOLE FOODS MARKET,-86.42
2026-05-03,UBER TRIP,-18.50
2026-05-04,STARBUCKS COFFEE,-5.75
2026-05-05,NETFLIX SUBSCRIPTION,-15.99
2026-05-06,SHELL GAS STATION,-52.10
2026-05-08,AMAZON MARKETPLACE,-124.30
2026-05-10,RENT PAYMENT LANDLORD,-1450.00
2026-05-12,TRADER JOE'S,-63.20
2026-05-14,COMCAST INTERNET,-79.99
2026-05-15,CVS PHARMACY,-22.40
2026-05-18,DOORDASH ORDER,-31.85
2026-05-20,LYFT RIDE,-14.20
2026-05-22,TARGET STORE,-58.77
2026-05-25,SPOTIFY PREMIUM,-10.99
2026-05-27,WHOLE FOODS MARKET,-44.15
2026-05-28,INTEREST PAYMENT,12.34
2026-05-30,GYM FITNESS MONTHLY,-39.00
